"unique.paste.TruncatedODdata.Node_O..TruncatedODdata.Node_D.."
"90" "13342 19088"
"91" "17625 14070"
"92" "21692 11532"
"93" "16657 19169"
"94" "10470 11863"
"95" "13514 13462"
"96" "19108 1380007832"
"97" "10470 13351"
"98" "17625 19879"
"99" "19108 12436"
"100" "11087 18008"
"101" "13514 1380039533"
"102" "17593 16518"
"103" "19108 19128"
"104" "13514 20357"
"105" "19108 14242"
"106" "13541 16657"
"107" "10470 13292"
"108" "13093 18147"
"109" "19108 14544"
"110" "16518 11879"
"111" "17625 12612"
"112" "13514 11741"
"113" "16518 18534"
"114" "16824 14078"
"115" "14687 11396"
"116" "14056 18534"
"117" "14078 16657"
"118" "13514 17413"
"119" "17062 20059"
"120" "1380006364 1380004670"
"121" "10470 12058"
"122" "16657 12201"
"123" "21732 18223"
"124" "16769 1380024657"
"125" "13514 16845"
"126" "12851 13342"
"127" "10470 13094"
"128" "16657 20357"
"129" "16657 16389"
"130" "12598 10982"
"131" "11193 12165"
"132" "17437 17413"
"133" "18223 10511"
"134" "13514 13835"
"135" "10470 19173"
"136" "14687 19847"
"137" "11087 16657"
"138" "19902 10207"
"139" "10470 10813"
"140" "17593 18346"
"141" "11087 12982"
"142" "10470 16256"
"143" "13094 17122"
"144" "13287 13094"
"145" "16955 10511"
"146" "19312 11087"
"147" "10470 19600"
"148" "16769 14078"
"149" "14607 16518"
"150" "10470 17147"
"151" "19108 15520"
"152" "12598 16870"
"153" "10470 13419"
"154" "18223 12244"
"155" "13514 13035"
"156" "18370 18344"
"157" "21430 18223"
"158" "16518 11087"
"159" "12612 18223"
"160" "16518 13302"
"161" "13093 19334"
"162" "13514 13302"
"163" "11087 18534"
"164" "10470 1380016436"
"165" "17437 13094"
"166" "13514 19348"
"167" "11087 16769"
"168" "11087 16955"
"169" "11087 10026"
"170" "21692 22037"
"171" "16657 20000"
"172" "17437 18223"
"173" "13342 18223"
"174" "19274 11721"
"175" "19108 12823"
"176" "16518 13854"
"177" "13342 13310"
"178" "10642 12612"
"179" "13514 21753"
"180" "12612 18534"
"181" "21730 18223"
"182" "16518 11891"
"183" "16518 21515"
"184" "16657 15626"
"185" "18223 1380003672"
"186" "16518 17625"
"187" "13093 18344"
"188" "10470 11583"
"189" "10470 14242"
"190" "17593 18507"
"191" "10334 12448"
"192" "11087 10813"
"193" "12612 11532"
"194" "13514 16657"
"195" "19108 16853"
"196" "10470 10850"
"197" "19532 20059"
"198" "1380026611 10470"
"199" "13514 10510"
"200" "18451 13514"
"201" "15194 18223"
"202" "16657 14607"
"203" "11087 15045"
"204" "16518 20408"
"205" "13094 13342"
"206" "11087 1380007832"
"207" "17625 16254"
"208" "11087 19175"
"209" "21692 14070"
"210" "16518 19779"
"211" "16657 12249"
"212" "12598 21641"
"213" "19108 19650"
"214" "11087 15220"
"215" "13514 12823"
"216" "12799 14078"
"217" "18223 12255"
"218" "19108 20092"
"219" "21905 11087"
"220" "13093 18351"
"221" "14078 10928"
