observations,TravelTime,startNodeID,endNodeID,interval
2,808,15170,15339,2010-02-08 16:55:00
4,1442,1380032142,19472,2010-04-08 22:45:00
3,1277,11821,11135,2010-05-08 18:25:00
1,803,20273,17877,2010-02-08 16:20:00
1,540,21238,21238,2010-04-08 18:40:00
1,1035,14916,14829,2010-05-08 00:40:00
1,179,18937,11280,2010-05-08 08:40:00
1,991,20481,12308,2010-03-08 13:15:00
1,724,18881,13639,2010-05-08 16:10:00
1,719,22155,11836,2010-04-08 15:50:00
2,1602,20059,11522,2010-05-08 20:05:00
3,1261,10648,12893,2010-05-08 11:55:00
1,392,21217,19502,2010-05-08 21:40:00
1,546,21305,10912,2010-03-08 12:50:00
2,720,15170,16120,2010-05-08 15:10:00
100,1260,12728,12728,2010-02-08 11:10:00
1,184,16648,11262,2010-02-08 16:10:00
2,442,17650,20273,2010-03-08 19:00:00
1,680,19472,17752,2010-03-08 12:55:00
1,184,14386,13173,2010-02-08 21:15:00
1,430,1380003375,12167,2010-02-08 09:05:00
1,474,10493,15688,2010-02-08 13:20:00
1,392,21189,20286,2010-02-08 07:45:00
3,902,22123,13342,2010-02-08 19:35:00
1,1412,20481,11296,2010-02-08 20:00:00
1,593,21905,20496,2010-04-08 13:20:00
1,727,12308,17537,2010-05-08 19:45:00
2,1074,21238,13740,2010-02-08 08:55:00
1,705,1380006657,18184,2010-05-08 17:00:00
2,180,14443,20132,2010-03-08 14:30:00
1,1681,15152,18090,2010-02-08 21:55:00
1,539,20273,14975,2010-03-08 02:20:00
1,1084,10851,17142,2010-02-08 10:45:00
3,1055,21977,12570,2010-05-08 13:55:00
1,623,1380029119,12158,2010-03-08 11:00:00
2,733,16741,19683,2010-02-08 16:30:00
1,1419,21217,19286,2010-03-08 18:10:00
1,931,15560,21223,2010-03-08 18:10:00
2,479,21515,12649,2010-03-08 08:20:00
2,912,12366,14651,2010-04-08 12:30:00
2,2070,18558,18333,2010-02-08 16:10:00
2,785,11821,14610,2010-05-08 12:30:00
1,1508,20759,12414,2010-03-08 13:35:00
1,750,1380009311,1380009311,2010-03-08 20:00:00
1,1630,15551,12432,2010-04-08 18:55:00
1,543,13687,17379,2010-02-08 12:25:00
1,865,22012,10508,2010-04-08 02:20:00
2,1155,1380004238,17775,2010-04-08 08:25:00
1,667,19964,14271,2010-05-08 14:20:00
2,966,21242,14139,2010-03-08 19:55:00
1,359,20273,10023,2010-05-08 16:15:00
1,729,16169,14443,2010-04-08 00:10:00
1,368,20270,16087,2010-02-08 09:30:00
1,181,13393,11897,2010-05-08 08:20:00
1,183,21923,15578,2010-05-08 19:30:00
1,543,14651,10668,2010-02-08 17:45:00
1,544,1380009311,1380009311,2010-03-08 01:50:00
2,186,14443,14215,2010-03-08 01:15:00
2,901,21221,15688,2010-04-08 19:25:00
1,348,20481,11053,2010-04-08 00:05:00
1,550,14801,16149,2010-05-08 18:35:00
4,1148,11821,11295,2010-04-08 18:35:00
5,1063,14443,14531,2010-05-08 01:55:00
2,617,13589,18866,2010-03-08 16:25:00
4,184,18558,12976,2010-04-08 13:00:00
1,725,20091,15168,2010-02-08 21:20:00
1,486,1380022404,12159,2010-04-08 21:05:00
3,371,1380012027,10172,2010-02-08 12:20:00
3,1650,20273,20892,2010-03-08 21:25:00
1,546,1380033349,10705,2010-05-08 16:15:00
1,1266,15170,19920,2010-02-08 15:05:00
5,1113,21238,14161,2010-05-08 15:20:00
2,2120,17769,16421,2010-02-08 07:00:00
