27000 0 4
{97800 79174 0.000}
{48818 79174 0.000}
{45448 87738 40.000}
{102708 79174 0.000}
{61798 79174 0.000}
{96090 79174 0.000}
{87970 79174 11.000}
{84162 79174 0.000}
{96222 79174 0.000}
{116286 79174 0.000}
{109888 79174 25.000}
{70416 79174 0.000}
{62594 79174 0.000}
{117662 79174 0.000}
{59892 79174 0.000}
{82952 79174 0.000}
{82376 79174 0.000}
{69721 79174 0.000}
{46634 79174 0.000}
{45800 79174 0.000}
{115852 83690 70.000}
{96536 83690 150.000}
{74626 83690 0.000}
{69962 83690 0.000}
{65342 83690 0.000}
{107340 83690 0.000}
{83732 83690 110.000}
{113230 83690 8.000}
{49670 83690 178.000}
{78384 83690 0.000}
{84834 83980 0.000}
{75700 83980 0.000}
{51122 83980 0.000}
{114018 83980 0.000}
{110040 83980 0.000}
{116518 83980 0.000}
{69420 83980 106.000}
{96222 83980 0.000}
{116286 83980 0.000}
{109888 83980 0.000}
{89870 83980 0.000}
{59892 83980 0.000}
{82952 83980 88.000}
{69721 83980 0.000}
{49670 104660 51.000}
{49576 79616 0.000}
{87544 79616 15.000}
{60262 79616 0.000}
{97552 103546 0.000}
{86440 103546 47.000}
{116312 103546 0.000}
{106130 103546 0.000}
{42956 103546 103.000}
{42888 103546 0.000}
{114692 103546 0.000}
{101974 103546 0.000}
{115190 103546 1.000}
{103378 103546 0.000}
{105038 103546 0.000}
{106316 103546 0.000}
{80286 103546 101.000}
{55170 103546 0.000}
{84042 103546 55.000}
{107466 103546 151.000}
{111758 103546 0.000}
{54594 103546 0.000}
{114008 103546 0.000}
{104444 103546 0.000}
{109698 103546 0.000}
{82074 103546 0.000}
{115414 103546 0.000}
{112308 103546 0.000}
{55256 103546 0.000}
{85972 103546 0.000}
{44742 103546 0.000}
{113230 103546 0.000}
{51640 103546 0.000}
{55872 103546 0.000}
{93878 103546 0.000}
{114916 103546 0.000}
{65796 103546 0.000}
{88692 103546 0.000}
{86950 103546 0.000}
{67800 103546 0.000}
{67076 103546 0.000}
{90162 103546 0.000}
{116744 103546 0.000}
{77068 103546 0.000}
{70416 103546 0.000}
{62594 103546 0.000}
{49670 103546 0.000}
{59892 103546 0.000}
{82952 103546 0.000}
{69721 103546 0.000}
{46634 103546 0.000}
{47646 103546 69.000}
{49576 85052 0.000}
{95310 85052 7.000}
{44530 85052 0.000}
{114692 85052 0.000}
{101974 85052 75.000}
{115190 85052 0.000}
{103378 85052 0.000}
{87544 85052 0.000}
{110618 85052 0.000}
{44786 85052 25.000}
{105710 85052 0.000}
{101668 85052 0.000}
{108398 85052 0.000}
{111758 85052 0.000}
{54594 85052 0.000}
{114008 85052 0.000}
{104444 85052 0.000}
{109698 85052 0.000}
{82074 85052 0.000}
{115414 85052 0.000}
{112308 85052 0.000}
{55256 85052 0.000}
{85972 85052 63.000}
{113230 85052 0.000}
{51640 85052 33.000}
{55872 85052 0.000}
{93878 85052 0.000}
{114916 85052 0.000}
{65796 85052 0.000}
{88692 85052 0.000}
{86950 85052 0.000}
{67800 85052 0.000}
{67076 85052 8.000}
{90162 85052 0.000}
{116744 85052 0.000}
{77068 85052 0.000}
{69420 85052 0.000}
