Old_lane,New_lane
792200,792200
792201,792201
496900,496900
496901,496901
496902,496902
505700,505700
505701,505701
580500,580500
580501,580501
580502,580502
580700,580700
580701,580701
580702,580702
580703,580703
503100,503100
503101,503101
503102,503102
503103,503103
700000,700000
700001,700001
700002,700002
700003,700003
700004,700004
700100,700100
700101,700101
700102,700102
999400,999400
999401,999401
999402,999402
999403,999403
999404,999404
999405,999405
999406,999406
1168300,1168300
1168301,1168301
1168302,1168302
1168303,1168303
999600,999600
999601,999601
999602,999602
999603,999603
544800,544800
544801,544801
544802,544802
544803,544803
544804,544804
544805,544805
545000,545000
545001,545001
545002,545002
545003,545003
494500,494500
494501,494501
494502,494502
494503,494503
540500,540500
540501,540501
540502,540502
540503,540503
492600,492600
492601,492601
540200,540200
540201,540201
540202,540202
540203,540203
540204,540204
540300,540300
540301,540301
540302,540302
540303,540303
492300,492300
492301,492301
492302,492302
492303,492303
492500,492500
492501,492501
492502,492502
492503,492503
646800,646800
646801,646801
646802,646802
646803,646803
646804,646804
664700,664700
664701,664701
664702,664702
664703,664703
653600,653600
653601,653601
653602,653602
653603,653603
607700,607700
607701,607701
607702,607702
607703,607703
1134300,3121600
1134301,3121601
1008300,1008300
1008301,1008301
1081900,1081900
1081901,1081901
1010300,1010300
1010301,1010301
1100500,1100500
1100501,1100501
1100502,1100502
915100,915100
915500,915500
915501,915501
915700,915700
915701,915701
915800,915800
915801,915801
932100,932100
932101,932101
932102,932102
1112600,1112600
1112601,1112601
1113400,3129800
1113401,3129801
1104600,1104600
1104601,1104601
1104602,1104602
1104603,1104603
1033800,1033800
1033801,1033801
1033802,1033802
1033803,1033803
1033804,1033804
1034200,1034200
1034201,1034201
863900,3119100
863901,3131400
863902,3131401
981700,981700
981701,981701
981702,981702
981703,981703
914900,914900
914901,914901
914902,914902
1219500,1219500
982900,982900
982901,982901
982902,982902
1018000,1018000
1018001,1018001
1018002,1018002
1018200,1018200
1018201,1018201
1018202,1018202
1018203,1018203
1018204,1018204
1018300,1018300
1018301,1018301
1018302,1018302
1018303,1018303
909900,909900
909901,909901
909902,909902
1051300,1051300
1051301,1051301
1051302,1051302
1051303,1051303
1051500,1051500
