"itd.lua","beta_ARR_1_6",2.66,2.128,3.192,0.1,81.04,1,0,1,2.66,1.7689
"itd.lua","beta_ARR_1_5",-2.01,-2.412,-1.608,0.1,81.04,1,0,1,-2.01,1.010025
"itd.lua","beta_ARR_1_4",0.385,0.308,0.462,0.1,81.04,1,0,1,0.385,0.03705625
"itd.lua","beta_ARR_1_3",-0.727,-0.8724,-0.5816,0.1,81.04,1,0,1,-0.727,0.13213225
"itd.lua","beta_ARR_1_2",-5.91,-7.092,-4.728,0.1,81.04,1,0,1,-5.91,8.732025
"itd.lua","beta_ARR_1_1",-9.47,-11.364,-7.576,0.1,81.04,1,0,1,-9.47,22.420225
"nte.lua","beta_cons_edu_2",-6.32,-7.584,-5.056,0.1,81.04,1,0,1,-6.32,9.9856
"nte.lua","beta_student515_edu_2",1.74,1.392,2.088,0.1,1.86,1,0,1,1.74,0.7569
"nte.lua","beta_student16_edu_2",0.382,0.3056,0.4584,0.1,1.78,1,0,1,0.382,0.036481
"nto.lua","beta_cons_other_2",-7.32,-8.784,-5.856,0.5,81.04,1,0,1,-7.32,13.3956
"nto.lua","beta_cons_other_3",-13.9,-16.68,-11.12,0.5,81.04,1,0,1,-13.9,48.3025
"nto.lua","beta_logsum_other_2",0.482,0.3856,0.5784,0.1,1.86,1,0,1,0.482,0.058081
"nto.lua","beta_logsum_other_3",0.882,0.7056,1.0584,0.1,1.86,1,0,1,0.882,0.194481
"nto.lua","beta_femaleage515_other_2",1.11,0.888,1.332,0.1,1.86,1,0,1,1.11,0.308025
"nto.lua","beta_maleage515_other_2",0.762,0.6096,0.9144,0.1,1.86,1,0,1,0.762,0.145161
"nto.lua","beta_homemaker_other_2",0.588,0.4704,0.7056,0.1,1.86,1,0,1,0.588,0.086436
"nto.lua","beta_femaleage4_other_2",1.09,0.872,1.308,0.1,1.86,1,0,1,1.09,0.297025
"nts.lua","beta_cons_shopping_2",-5.85,-7.02,-4.68,0.5,81.04,1,0,1,-5.85,8.555625
"nts.lua","beta_logsum_shopping_2",0.135,0.108,0.162,0.1,0.62,1,0,1,0.135,0.00455625
"nts.lua","beta_caravail_shopping_2",1.32,1.056,1.584,0.1,1.86,1,0,1,1.32,0.4356
"nts.lua","beta_motoravail_shopping_2",-0.361,-0.4332,-0.2888,0.1,1.35,1,0,1,-0.361,0.03258025
"ntw.lua","beta_cons_work_2",-9.92,-11.904,-7.936,0.5,81.04,1,0,1,-9.92,24.6016
"ntw.lua","beta_logsum_work_2",0.349,0.2792,0.4188,0.1,1.62,1,0,1,0.349,0.03045025
"ntw.lua","beta_femalenone_work_2",-0.847,-1.0164,-0.6776,0.1,1.55,1,0,1,-0.847,0.17935225
"ntw.lua","beta_femaleage515_work_2",-0.612,-0.7344,-0.4896,0.1,1.55,1,0,1,-0.612,0.093636
"ntw.lua","beta_femaleage4_work_2",-1.44,-1.728,-1.152,0.1,1.55,1,0,1,-1.44,0.5184
"ntw.lua","beta_motoravail_work_2",0.666,0.5328,0.7992,0.1,1.86,1,0,1,0.666,0.110889
"stmd.lua","beta_cons_bus",2.8,2.24,3.36,0.5,81.04,1,0,1,2.8,1.96
"stmd.lua","beta_cons_mrt",2.21,1.768,2.652,0.5,81.04,1,0,1,2.21,1.221025
"stmd.lua","beta_cons_private_bus",2.094,1.6752,2.5128,0.5,81.04,1,0,1,2.094,1.096209
"stmd.lua","beta_cons_drive1",0.4,0.32,0.48,0.5,81.04,1,0,1,0.4,0.04
"stmd.lua","beta_cons_share2",1.85,1.48,2.22,0.5,81.04,1,0,1,1.85,0.855625
"stmd.lua","beta_cons_share3",0.87,0.696,1.044,0.5,81.04,1,0,1,0.87,0.189225
"stmd.lua","beta_cons_motor",-5.3,-6.36,-4.24,0.5,81.04,1,0,1,-5.3,7.0225
"stmd.lua","beta_cons_walk",-1.72,-2.064,-1.376,0.5,81.04,1,0,1,-1.72,0.7396
