"Capacity",4,2,90,"C84",1871.1859943817,1000,5100,300,0.3,0.25,0.75,0.1,1871.1859943817,8.75E+05
"Capacity",4,3,40,"C85",1000,1000,4500,300,0.2,0.25,0.75,0.1,1000,2.50E+05
"Capacity",4,3,50,"C86",3082.441788042,1000,4700,300,0.6,0.25,0.75,0.1,3082.441788042,2.38E+06
"Capacity",4,3,60,"C87",2432.8349037816,1000,4700,300,0.5,0.25,0.75,0.1,2432.8349037816,1.48E+06
"Capacity",4,3,70,"C88",3468.9390186314,1000,4900,300,0.5,0.25,0.75,0.1,3468.9390186314,3.01E+06
"Capacity",4,3,80,"C89",3869.927700243,1000,5000,300,0.6,0.25,0.75,0.1,3869.927700243,3.74E+06
"Capacity",4,3,90,"C90",4344.8551005371,1000,5100,300,0.4,0.25,0.75,0.1,4344.8551005371,4.72E+06
"Capacity",4,">3",40,"C91",4131.9233644443,1000,4500,300,0.35,0.25,0.75,0.1,4131.9233644443,4.27E+06
"Capacity",4,">3",50,"C92",2534.0107211919,1000,4700,300,0.4,0.25,0.75,0.1,2534.0107211919,1.61E+06
"Capacity",4,">3",60,"C93",4367.8140957919,1000,4700,300,0.6,0.25,0.75,0.1,4367.8140957919,4.77E+06
"Capacity",4,">3",70,"C94",3415.4514201613,1000,4900,300,0.5,0.25,0.75,0.1,3415.4514201613,2.92E+06
"Capacity",4,">3",80,"C95",2572.6241139116,1000,5000,300,0.5,0.25,0.75,0.1,2572.6241139116,1.65E+06
"Capacity",4,">3",90,"C96",5100,1000,5100,300,0.6,0.25,0.75,0.1,5100,6.50E+06
"Capacity",5,1,40,"C97",3229.1498085014,1000,4500,300,0.5,0.25,0.75,0.1,3229.1498085014,2.61E+06
"Capacity",5,1,50,"C98",2576.8508965893,1000,4700,300,0.4,0.25,0.75,0.1,2576.8508965893,1.66E+06
"Capacity",5,1,60,"C99",4700,1000,4700,300,0.6,0.25,0.75,0.1,4700,5.52E+06
"Capacity",5,1,70,"C100",3468.9390186314,1000,4900,300,0.5,0.25,0.75,0.1,3468.9390186314,3.01E+06
"Capacity",5,1,80,"C101",4512.514087799,1000,5000,300,0.6,0.25,0.75,0.1,4512.514087799,5.09E+06
"Capacity",5,1,90,"C102",2868.2237890463,1000,5100,300,0.4,0.25,0.75,0.1,2868.2237890463,2.06E+06
"Capacity",5,2,40,"C103",1613.0788895834,1000,4500,300,0.4,0.25,0.75,0.1,1613.0788895834,6.51E+05
"Capacity",5,2,50,"C104",2468.2237890463,1000,4700,300,0.4,0.25,0.75,0.1,2468.2237890463,1.52E+06
"Capacity",5,2,60,"C105",2568.2237890463,1000,4700,300,0.4,0.25,0.75,0.1,2568.2237890463,1.65E+06
"Capacity",5,2,70,"C106",4411.7663248811,1000,4900,300,0.5,0.25,0.75,0.1,4411.7663248811,4.87E+06
"Capacity",5,2,80,"C107",3869.927700243,1000,5000,300,0.6,0.25,0.75,0.1,3869.927700243,3.74E+06
"Capacity",5,2,90,"C108",2934.0107211919,1000,5100,300,0.4,0.25,0.75,0.1,2934.0107211919,2.15E+06
"Capacity",5,3,40,"C109",4131.9233644443,1000,4500,300,0.35,0.25,0.75,0.1,4131.9233644443,4.27E+06
"Capacity",5,3,50,"C110",2468.2237890463,1000,4700,300,0.4,0.25,0.75,0.1,2468.2237890463,1.52E+06
"Capacity",5,3,60,"C111",4367.8140957919,1000,4700,300,0.6,0.25,0.75,0.1,4367.8140957919,4.77E+06
"Capacity",5,3,70,"C112",3724.4424754083,1000,4900,300,0.4,0.25,0.75,0.1,3724.4424754083,3.47E+06
"Capacity",5,3,80,"C113",2370.3768485316,1000,5000,300,0.3,0.25,0.75,0.1,2370.3768485316,1.40E+06
"Capacity",5,3,90,"C114",3668.9390186314,1000,5100,300,0.5,0.25,0.75,0.1,3668.9390186314,3.37E+06
